NCBITaxon_108151 | unidentified eubacterium clone BSV03
NCBITaxon_148450 | unidentified Hailaer soda lake bacterium Z3
NCBITaxon_148452 | unidentified Hailaer soda lake bacterium T2
NCBITaxon_150686 | phenanthrene-metabolizing bacterium DGGE-band-10
NCBITaxon_151207 | unidentified bacterium SB22/GOBB3-111
NCBITaxon_152683 | unidentified bacterium U62
NCBITaxon_152684 | unidentified bacterium UM2b
NCBITaxon_2355 | unidentified bacterial endosymbiont
NCBITaxon_297178 | unidentified bacterium TMB801
NCBITaxon_297179 | unidentified bacterium TMB802
NCBITaxon_297180 | unidentified bacterium TMB803
NCBITaxon_297181 | unidentified bacterium TMB813
NCBITaxon_297182 | unidentified bacterium TMB814
NCBITaxon_297183 | unidentified bacterium TMB815
NCBITaxon_297184 | unidentified bacterium TMB817
NCBITaxon_297185 | unidentified bacterium TMB821
NCBITaxon_297186 | unidentified bacterium TMB824
NCBITaxon_297187 | unidentified bacterium TMB830
NCBITaxon_297188 | unidentified bacterium TMB836
NCBITaxon_297189 | unidentified bacterium TMB838
NCBITaxon_297190 | unidentified bacterium TMB812
NCBITaxon_297191 | unidentified bacterium TMB805
NCBITaxon_297192 | unidentified bacterium TMB804
NCBITaxon_297193 | unidentified bacterium TMB827
NCBITaxon_297194 | unidentified bacterium TMB820
NCBITaxon_297195 | unidentified bacterium TMB811
NCBITaxon_297196 | unidentified bacterium TMB825
NCBITaxon_297197 | unidentified bacterium TMB809
NCBITaxon_297198 | unidentified bacterium TMB831
NCBITaxon_297199 | unidentified bacterium TMB837
NCBITaxon_297200 | unidentified bacterium TMB822
NCBITaxon_297201 | unidentified bacterium TMB834
NCBITaxon_297202 | unidentified bacterium TMB806
NCBITaxon_297203 | unidentified bacterium TMB808
NCBITaxon_297204 | unidentified bacterium TMB810
NCBITaxon_297205 | unidentified bacterium TMB826
NCBITaxon_297206 | unidentified bacterium TMB829
NCBITaxon_297207 | unidentified bacterium TMB828
NCBITaxon_297208 | unidentified bacterium VCT101
NCBITaxon_297209 | unidentified bacterium VCT102
NCBITaxon_297210 | unidentified bacterium VCT103
NCBITaxon_297211 | unidentified bacterium VCT106
NCBITaxon_297212 | unidentified bacterium VCT107
NCBITaxon_297213 | unidentified bacterium VCT113
NCBITaxon_297214 | unidentified bacterium VCT108
NCBITaxon_297215 | unidentified bacterium VCT109
NCBITaxon_297216 | unidentified bacterium VCT105
NCBITaxon_297217 | unidentified bacterium VCT111
NCBITaxon_329066 | bacterium MDA2477-like oral clone 51A-9
NCBITaxon_33080 | unidentified sulfate-reducing bacterium
NCBITaxon_34107 | unidentified nitrogen-fixing bacteria
NCBITaxon_391167 | unidentified bacterial contaminant
NCBITaxon_42961 | unidentified eubacterium 19R6
NCBITaxon_52591 | lignin enrichment culture E-38
NCBITaxon_52592 | lignin enrichment culture E-35
NCBITaxon_52593 | lignin enrichment culture E-32
NCBITaxon_52594 | lignin enrichment culture E-43
NCBITaxon_52595 | lignin enrichment culture E-42
NCBITaxon_52596 | lignin enrichment culture EE-12
NCBITaxon_52597 | lignin enrichment culture EE-34
NCBITaxon_52599 | lignin enrichment culture L-85
NCBITaxon_52600 | lignin enrichment culture L-86
NCBITaxon_52601 | lignin enrichment culture L-87
NCBITaxon_52602 | lignin enrichment culture E-45
NCBITaxon_710472 | dechlorinating enrichment culture KB-1
NCBITaxon_82669 | unidentified bacterium B1
NCBITaxon_82670 | unidentified bacterium B3
NCBITaxon_82671 | unidentified bacterium B4
NCBITaxon_82672 | unidentified bacterium B5
NCBITaxon_82673 | unidentified bacterium B6
NCBITaxon_82674 | unidentified bacterium B7
NCBITaxon_82675 | unidentified bacterium B8
NCBITaxon_85645 | unidentified thermophilic eubacterium ST10
NCBITaxon_85646 | unidentified thermophilic eubacterium ST12
NCBITaxon_877197 | rumen bacterium enrichment culture clone Y92
NCBITaxon_933880 | bacterium TOPO-2YTclone1B
NCBITaxon_933881 | bacterium TOPO-2YTclone2A
NCBITaxon_933882 | bacterium TOPO-2YTclone3A
NCBITaxon_933883 | bacterium TOPO-2YTclone5A
NCBITaxon_933886 | bacterium TOPO-YPDclone1A
NCBITaxon_933887 | bacterium TOPO-YPDclone3A
NCBITaxon_933888 | bacterium TOPO-YPDclone5A
NCBITaxon_933889 | bacterium TOPO-YPDclone7A
NCBITaxon_933890 | bacterium TOPO-cloneB
NCBITaxon_1004094 | bacterium enrichment culture DGGE gel band A1
NCBITaxon_1004095 | bacterium enrichment culture DGGE gel band A11
NCBITaxon_1004096 | bacterium enrichment culture DGGE gel band A12
NCBITaxon_1004097 | bacterium enrichment culture DGGE gel band A14
NCBITaxon_1004098 | bacterium enrichment culture DGGE gel band A15
NCBITaxon_1004099 | bacterium enrichment culture DGGE gel band A16
NCBITaxon_1004100 | bacterium enrichment culture DGGE gel band A17
NCBITaxon_1004101 | bacterium enrichment culture DGGE gel band A18
NCBITaxon_1004102 | bacterium enrichment culture DGGE gel band A19
NCBITaxon_1004103 | bacterium enrichment culture DGGE gel band A2
NCBITaxon_1004104 | bacterium enrichment culture DGGE gel band A20
NCBITaxon_1004105 | bacterium enrichment culture DGGE gel band A3
NCBITaxon_1004106 | bacterium enrichment culture DGGE gel band A4
NCBITaxon_1004107 | bacterium enrichment culture DGGE gel band A6
NCBITaxon_1004108 | bacterium enrichment culture DGGE gel band A7
NCBITaxon_1004109 | bacterium enrichment culture DGGE gel band A8
NCBITaxon_1004110 | bacterium enrichment culture DGGE gel band A9
NCBITaxon_1004111 | bacterium enrichment culture DGGE gel band B1
NCBITaxon_1004112 | bacterium enrichment culture DGGE gel band B10
NCBITaxon_1004113 | bacterium enrichment culture DGGE gel band B11
NCBITaxon_1004114 | bacterium enrichment culture DGGE gel band B12
NCBITaxon_1004115 | bacterium enrichment culture DGGE gel band B13
NCBITaxon_1004116 | bacterium enrichment culture DGGE gel band B14
NCBITaxon_1004117 | bacterium enrichment culture DGGE gel band B15
NCBITaxon_1004118 | bacterium enrichment culture DGGE gel band B16
NCBITaxon_1004119 | bacterium enrichment culture DGGE gel band B18
NCBITaxon_1004120 | bacterium enrichment culture DGGE gel band B19
NCBITaxon_1004121 | bacterium enrichment culture DGGE gel band B2
NCBITaxon_1004122 | bacterium enrichment culture DGGE gel band B20
NCBITaxon_1004123 | bacterium enrichment culture DGGE gel band B3
NCBITaxon_1004124 | bacterium enrichment culture DGGE gel band B4
NCBITaxon_1004125 | bacterium enrichment culture DGGE gel band B5
NCBITaxon_1004126 | bacterium enrichment culture DGGE gel band B6
NCBITaxon_1004127 | bacterium enrichment culture DGGE gel band B7
NCBITaxon_1004128 | bacterium enrichment culture DGGE gel band B8
NCBITaxon_1004129 | bacterium enrichment culture DGGE gel band B9
NCBITaxon_1004130 | bacterium enrichment culture DGGE gel band C1
NCBITaxon_1004131 | bacterium enrichment culture DGGE gel band C10
NCBITaxon_1004132 | bacterium enrichment culture DGGE gel band C11
NCBITaxon_1004133 | bacterium enrichment culture DGGE gel band C12
NCBITaxon_1004134 | bacterium enrichment culture DGGE gel band C13
NCBITaxon_1004135 | bacterium enrichment culture DGGE gel band C14
NCBITaxon_1004136 | bacterium enrichment culture DGGE gel band C15
NCBITaxon_1004137 | bacterium enrichment culture DGGE gel band C16
NCBITaxon_1004138 | bacterium enrichment culture DGGE gel band C17
NCBITaxon_1004139 | bacterium enrichment culture DGGE gel band C18
NCBITaxon_1004140 | bacterium enrichment culture DGGE gel band C19
NCBITaxon_1004141 | bacterium enrichment culture DGGE gel band C20
NCBITaxon_1004142 | bacterium enrichment culture DGGE gel band C3
NCBITaxon_1004143 | bacterium enrichment culture DGGE gel band C4
NCBITaxon_1004144 | bacterium enrichment culture DGGE gel band C6
NCBITaxon_1004145 | bacterium enrichment culture DGGE gel band C7
NCBITaxon_1004146 | bacterium enrichment culture DGGE gel band C8
NCBITaxon_1004147 | bacterium enrichment culture DGGE gel band C9
NCBITaxon_100717 | uncultured bacterium SHA-28
NCBITaxon_100718 | uncultured bacterium SHA-61
NCBITaxon_100719 | uncultured bacterium SHA-67
NCBITaxon_100720 | uncultured bacterium SHA-89
NCBITaxon_100721 | uncultured bacterium SHA-15
NCBITaxon_100722 | uncultured bacterium SHA-18
NCBITaxon_100723 | uncultured bacterium SHA-24
NCBITaxon_100724 | uncultured bacterium SHA-25
NCBITaxon_100726 | uncultured bacterium SHA-21
NCBITaxon_100727 | uncultured bacterium SHA-33
NCBITaxon_100728 | uncultured bacterium SHA-38
NCBITaxon_100729 | uncultured bacterium SHA-3
NCBITaxon_100730 | uncultured bacterium SHA-54
NCBITaxon_100731 | uncultured bacterium SHA-56
NCBITaxon_100732 | uncultured bacterium SHA-7
NCBITaxon_100733 | uncultured bacterium SHA-219
NCBITaxon_100734 | uncultured bacterium SHA-53
NCBITaxon_100735 | uncultured bacterium SHA-300
NCBITaxon_100736 | uncultured bacterium SHA-105
NCBITaxon_1008309 | bacterium enrichment culture clone D907-1
NCBITaxon_1008310 | bacterium enrichment culture clone D907-10
NCBITaxon_1008311 | bacterium enrichment culture clone D907-11
NCBITaxon_1008312 | bacterium enrichment culture clone D907-12
NCBITaxon_1008313 | bacterium enrichment culture clone D907-13
NCBITaxon_1008314 | bacterium enrichment culture clone D907-14
NCBITaxon_1008315 | bacterium enrichment culture clone D907-15
NCBITaxon_1008316 | bacterium enrichment culture clone D907-2
NCBITaxon_1008317 | bacterium enrichment culture clone D907-3
NCBITaxon_1008318 | bacterium enrichment culture clone D907-4
NCBITaxon_1008319 | bacterium enrichment culture clone D907-5
NCBITaxon_1008320 | bacterium enrichment culture clone D907-8
NCBITaxon_1008321 | bacterium enrichment culture clone D907-9
NCBITaxon_1008322 | bacterium enrichment culture clone R1492-1
NCBITaxon_1008323 | bacterium enrichment culture clone R1492-10
NCBITaxon_1008324 | bacterium enrichment culture clone R1492-11
NCBITaxon_1008325 | bacterium enrichment culture clone R1492-12
NCBITaxon_1008326 | bacterium enrichment culture clone R1492-13
NCBITaxon_1008327 | bacterium enrichment culture clone R1492-14
NCBITaxon_1008328 | bacterium enrichment culture clone R1492-2
NCBITaxon_1008329 | bacterium enrichment culture clone R1492-3
NCBITaxon_1008330 | bacterium enrichment culture clone R1492-4
NCBITaxon_1008331 | bacterium enrichment culture clone R1492-5
NCBITaxon_1008332 | bacterium enrichment culture clone R1492-6
NCBITaxon_1008333 | bacterium enrichment culture clone R1492-7
NCBITaxon_1008334 | bacterium enrichment culture clone R1492-8
NCBITaxon_1008335 | bacterium enrichment culture clone R1492-9
NCBITaxon_1008336 | bacterium enrichment culture clone R907-1
NCBITaxon_1008337 | bacterium enrichment culture clone R907-10
NCBITaxon_1008338 | bacterium enrichment culture clone R907-11
NCBITaxon_1008339 | bacterium enrichment culture clone R907-12
NCBITaxon_1008340 | bacterium enrichment culture clone R907-13
NCBITaxon_1008341 | bacterium enrichment culture clone R907-14
NCBITaxon_1008342 | bacterium enrichment culture clone R907-15
NCBITaxon_1008343 | bacterium enrichment culture clone R907-16
NCBITaxon_1008344 | bacterium enrichment culture clone R907-2
NCBITaxon_1008345 | bacterium enrichment culture clone R907-3
NCBITaxon_1008346 | bacterium enrichment culture clone R907-4
NCBITaxon_1008347 | bacterium enrichment culture clone R907-5
NCBITaxon_1008348 | bacterium enrichment culture clone R907-6
NCBITaxon_1008349 | bacterium enrichment culture clone R907-7
NCBITaxon_1008350 | bacterium enrichment culture clone R907-8
NCBITaxon_1008351 | bacterium enrichment culture clone R907-9
NCBITaxon_1009086 | bacterium enrichment culture clone A01
NCBITaxon_1009087 | bacterium enrichment culture clone A03
NCBITaxon_1009088 | bacterium enrichment culture clone A04
NCBITaxon_1009089 | bacterium enrichment culture clone Dhc_hupL-1
NCBITaxon_1009090 | bacterium enrichment culture clone Dhc_hupL-2
NCBITaxon_1009091 | bacterium enrichment culture clone Dhc_hupL-3
NCBITaxon_1009092 | bacterium enrichment culture clone Dhc_hupL-4
NCBITaxon_1009093 | bacterium enrichment culture clone Dsv_hynA-1_fragment1
NCBITaxon_1009094 | bacterium enrichment culture clone Dsv_hynA-1_fragment2
NCBITaxon_1010773 | bacterium enrichment culture clone CCZU-12
NCBITaxon_1010841 | bacterium enrichment culture clone ALO1_GLFRUDD03F00LU
NCBITaxon_1010842 | bacterium enrichment culture clone ALO1_GLFRUDD03F00Q4
NCBITaxon_1010843 | bacterium enrichment culture clone ALO1_GLFRUDD03F00YL
NCBITaxon_1010844 | bacterium enrichment culture clone ALO1_GLFRUDD03F02EW
NCBITaxon_1010845 | bacterium enrichment culture clone ALO1_GLFRUDD03F03BX
NCBITaxon_1010846 | bacterium enrichment culture clone ALO1_GLFRUDD03F03DO
NCBITaxon_1010847 | bacterium enrichment culture clone ALO1_GLFRUDD03F04XI
NCBITaxon_1010848 | bacterium enrichment culture clone ALO1_GLFRUDD03F04Z2
NCBITaxon_1010849 | bacterium enrichment culture clone ALO1_GLFRUDD03F055V
NCBITaxon_1010850 | bacterium enrichment culture clone ALO1_GLFRUDD03F05HR
NCBITaxon_1010851 | bacterium enrichment culture clone ALO1_GLFRUDD03F05QC
NCBITaxon_1010852 | bacterium enrichment culture clone ALO1_GLFRUDD03F06HW
NCBITaxon_1010853 | bacterium enrichment culture clone ALO1_GLFRUDD03F06KJ
NCBITaxon_1010854 | bacterium enrichment culture clone ALO1_GLFRUDD03F06QA
NCBITaxon_1010855 | bacterium enrichment culture clone ALO1_GLFRUDD03F073F
NCBITaxon_1010856 | bacterium enrichment culture clone ALO1_GLFRUDD03F08AC
NCBITaxon_1010857 | bacterium enrichment culture clone ALO1_GLFRUDD03F0909
NCBITaxon_1010858 | bacterium enrichment culture clone ALO1_GLFRUDD03F09P6
NCBITaxon_1010859 | bacterium enrichment culture clone ALO1_GLFRUDD03F0A0C
NCBITaxon_1010860 | bacterium enrichment culture clone ALO1_GLFRUDD03F0A0K
NCBITaxon_1010861 | bacterium enrichment culture clone ALO1_GLFRUDD03F0AOI
NCBITaxon_1010862 | bacterium enrichment culture clone ALO1_GLFRUDD03F0BJS
NCBITaxon_1010863 | bacterium enrichment culture clone ALO1_GLFRUDD03F0C0G
NCBITaxon_1010864 | bacterium enrichment culture clone ALO1_GLFRUDD03F0CIP
NCBITaxon_1010865 | bacterium enrichment culture clone ALO1_GLFRUDD03F0CKK
NCBITaxon_1010866 | bacterium enrichment culture clone ALO1_GLFRUDD03F0CUQ
NCBITaxon_1010867 | bacterium enrichment culture clone ALO1_GLFRUDD03F0D4O
NCBITaxon_1010868 | bacterium enrichment culture clone ALO1_GLFRUDD03F0DW8
NCBITaxon_1010869 | bacterium enrichment culture clone ALO1_GLFRUDD03F0EAE
NCBITaxon_1010870 | bacterium enrichment culture clone ALO1_GLFRUDD03F0EED
NCBITaxon_1010871 | bacterium enrichment culture clone ALO1_GLFRUDD03F0G11
NCBITaxon_1010872 | bacterium enrichment culture clone ALO1_GLFRUDD03F0G5P
NCBITaxon_1010873 | bacterium enrichment culture clone ALO1_GLFRUDD03F0H1D
NCBITaxon_1010874 | bacterium enrichment culture clone ALO1_GLFRUDD03F0HII
NCBITaxon_1010875 | bacterium enrichment culture clone ALO1_GLFRUDD03F0HTL
NCBITaxon_1010876 | bacterium enrichment culture clone ALO1_GLFRUDD03F0HZS
NCBITaxon_1010877 | bacterium enrichment culture clone ALO1_GLFRUDD03F0IFO
NCBITaxon_1010878 | bacterium enrichment culture clone ALO1_GLFRUDD03F0IH6
NCBITaxon_1010879 | bacterium enrichment culture clone ALO1_GLFRUDD03F0JBJ
NCBITaxon_1010880 | bacterium enrichment culture clone ALO1_GLFRUDD03F0JJD
NCBITaxon_1010881 | bacterium enrichment culture clone ALO1_GLFRUDD03F0JO4
NCBITaxon_1010882 | bacterium enrichment culture clone ALO1_GLFRUDD03F0JQF
NCBITaxon_1010883 | bacterium enrichment culture clone ALO1_GLFRUDD03F0JQT
NCBITaxon_1010884 | bacterium enrichment culture clone ALO1_GLFRUDD03F0K2M
NCBITaxon_1010885 | bacterium enrichment culture clone ALO1_GLFRUDD03F0KLD
NCBITaxon_1010886 | bacterium enrichment culture clone ALO1_GLFRUDD03F0KOJ
NCBITaxon_1010887 | bacterium enrichment culture clone ALO1_GLFRUDD03F0KSY
NCBITaxon_1010888 | bacterium enrichment culture clone ALO1_GLFRUDD03F0KT4
NCBITaxon_1010889 | bacterium enrichment culture clone ALO1_GLFRUDD03F0KW0
NCBITaxon_1010890 | bacterium enrichment culture clone ALO1_GLFRUDD03F0LS2
NCBITaxon_1010891 | bacterium enrichment culture clone ALO1_GLFRUDD03F0LZK
NCBITaxon_1010892 | bacterium enrichment culture clone ALO1_GLFRUDD03F0MBG
NCBITaxon_1010893 | bacterium enrichment culture clone ALO1_GLFRUDD03F0MKC
NCBITaxon_1010894 | bacterium enrichment culture clone ALO1_GLFRUDD03F0MM0
NCBITaxon_1010895 | bacterium enrichment culture clone ALO1_GLFRUDD03F0MN9
NCBITaxon_1010896 | bacterium enrichment culture clone ALO1_GLFRUDD03F0MQ1
NCBITaxon_1010897 | bacterium enrichment culture clone ALO1_GLFRUDD03F0N0I
NCBITaxon_1010898 | bacterium enrichment culture clone ALO1_GLFRUDD03F0NN5
NCBITaxon_1010899 | bacterium enrichment culture clone ALO1_GLFRUDD03F0NUU
NCBITaxon_1010900 | bacterium enrichment culture clone ALO1_GLFRUDD03F0O1B
NCBITaxon_1010901 | bacterium enrichment culture clone ALO1_GLFRUDD03F0O9V
NCBITaxon_1010902 | bacterium enrichment culture clone ALO1_GLFRUDD03F0OSH
NCBITaxon_1010903 | bacterium enrichment culture clone ALO1_GLFRUDD03F0QUO
NCBITaxon_1010904 | bacterium enrichment culture clone ALO1_GLFRUDD03F0RBX
NCBITaxon_1010905 | bacterium enrichment culture clone ALO1_GLFRUDD03F0RIX
NCBITaxon_1010906 | bacterium enrichment culture clone ALO1_GLFRUDD03F0S7E
NCBITaxon_1010907 | bacterium enrichment culture clone ALO1_GLFRUDD03F0SC9
NCBITaxon_1010908 | bacterium enrichment culture clone ALO1_GLFRUDD03F0T87
NCBITaxon_1010909 | bacterium enrichment culture clone ALO1_GLFRUDD03F0TIX
NCBITaxon_1010910 | bacterium enrichment culture clone ALO1_GLFRUDD03F0TQ0
NCBITaxon_1010911 | bacterium enrichment culture clone ALO1_GLFRUDD03F0TU5
NCBITaxon_1010912 | bacterium enrichment culture clone ALO1_GLFRUDD03F0TUI
NCBITaxon_1010913 | bacterium enrichment culture clone ALO1_GLFRUDD03F0TV7
NCBITaxon_1010914 | bacterium enrichment culture clone ALO1_GLFRUDD03F0V3J
NCBITaxon_1010915 | bacterium enrichment culture clone ALO1_GLFRUDD03F0V5J
NCBITaxon_1010916 | bacterium enrichment culture clone ALO1_GLFRUDD03F0V7I
NCBITaxon_1010917 | bacterium enrichment culture clone ALO1_GLFRUDD03F0VAR
NCBITaxon_1010918 | bacterium enrichment culture clone ALO1_GLFRUDD03F0VS1
NCBITaxon_1010919 | bacterium enrichment culture clone ALO1_GLFRUDD03F0VUL
NCBITaxon_1010920 | bacterium enrichment culture clone ALO1_GLFRUDD03F0W9F
NCBITaxon_1010921 | bacterium enrichment culture clone ALO1_GLFRUDD03F0WTC
NCBITaxon_1010922 | bacterium enrichment culture clone ALO1_GLFRUDD03F0WXN
NCBITaxon_1010923 | bacterium enrichment culture clone ALO1_GLFRUDD03F0XG1
NCBITaxon_1010924 | bacterium enrichment culture clone ALO1_GLFRUDD03F0XGQ
NCBITaxon_1010925 | bacterium enrichment culture clone ALO1_GLFRUDD03F0Y1A
NCBITaxon_1010926 | bacterium enrichment culture clone ALO1_GLFRUDD03F0Y7Q
NCBITaxon_1010927 | bacterium enrichment culture clone ALO1_GLFRUDD03F0YVB
NCBITaxon_1010928 | bacterium enrichment culture clone ALO1_GLFRUDD03F0ZCY
NCBITaxon_1010929 | bacterium enrichment culture clone ALO1_GLFRUDD03F0ZVM
NCBITaxon_1010930 | bacterium enrichment culture clone ALO1_GLFRUDD03F107T
NCBITaxon_1010931 | bacterium enrichment culture clone ALO1_GLFRUDD03F10QQ
NCBITaxon_1010932 | bacterium enrichment culture clone ALO1_GLFRUDD03F10XC
NCBITaxon_1010933 | bacterium enrichment culture clone ALO1_GLFRUDD03F11D1
NCBITaxon_1010934 | bacterium enrichment culture clone ALO1_GLFRUDD03F11FJ
NCBITaxon_1010935 | bacterium enrichment culture clone ALO1_GLFRUDD03F13ZO
NCBITaxon_1010936 | bacterium enrichment culture clone ALO1_GLFRUDD03F144M
NCBITaxon_1010937 | bacterium enrichment culture clone ALO1_GLFRUDD03F145G
NCBITaxon_1010938 | bacterium enrichment culture clone ALO1_GLFRUDD03F145N
NCBITaxon_1010939 | bacterium enrichment culture clone ALO1_GLFRUDD03F15K2
NCBITaxon_1010940 | bacterium enrichment culture clone ALO1_GLFRUDD03F16KS
NCBITaxon_1010941 | bacterium enrichment culture clone ALO1_GLFRUDD03F16NN
NCBITaxon_1010942 | bacterium enrichment culture clone ALO1_GLFRUDD03F16OJ
NCBITaxon_1010943 | bacterium enrichment culture clone ALO1_GLFRUDD03F16XS
NCBITaxon_1010944 | bacterium enrichment culture clone ALO1_GLFRUDD03F174P
NCBITaxon_1010945 | bacterium enrichment culture clone ALO1_GLFRUDD03F1761
NCBITaxon_1010946 | bacterium enrichment culture clone ALO1_GLFRUDD03F17F0
NCBITaxon_1010947 | bacterium enrichment culture clone ALO1_GLFRUDD03F186I
NCBITaxon_1010948 | bacterium enrichment culture clone ALO1_GLFRUDD03F18DY
NCBITaxon_1010949 | bacterium enrichment culture clone ALO1_GLFRUDD03F18RH
NCBITaxon_1010950 | bacterium enrichment culture clone ALO1_GLFRUDD03F18T1
NCBITaxon_1010951 | bacterium enrichment culture clone ALO1_GLFRUDD03F18YL
NCBITaxon_1010952 | bacterium enrichment culture clone ALO1_GLFRUDD03F19PB
NCBITaxon_1010953 | bacterium enrichment culture clone ALO1_GLFRUDD03F1A1I
NCBITaxon_1010954 | bacterium enrichment culture clone ALO1_GLFRUDD03F1A2T
NCBITaxon_1010955 | bacterium enrichment culture clone ALO1_GLFRUDD03F1A7A
NCBITaxon_1010956 | bacterium enrichment culture clone ALO1_GLFRUDD03F1B20
NCBITaxon_1010957 | bacterium enrichment culture clone ALO1_GLFRUDD03F1BBG
NCBITaxon_1010958 | bacterium enrichment culture clone ALO1_GLFRUDD03F1BET
NCBITaxon_1010959 | bacterium enrichment culture clone ALO1_GLFRUDD03F1BJN
NCBITaxon_1010960 | bacterium enrichment culture clone ALO1_GLFRUDD03F1BQJ
NCBITaxon_1010961 | bacterium enrichment culture clone ALO1_GLFRUDD03F1BYS
NCBITaxon_1010962 | bacterium enrichment culture clone ALO1_GLFRUDD03F1C20
NCBITaxon_1010963 | bacterium enrichment culture clone ALO1_GLFRUDD03F1CIR
NCBITaxon_1010964 | bacterium enrichment culture clone ALO1_GLFRUDD03F1CJ3
NCBITaxon_1010965 | bacterium enrichment culture clone ALO1_GLFRUDD03F1DKI
NCBITaxon_1010966 | bacterium enrichment culture clone ALO1_GLFRUDD03F1E4W
